brand,description,rating,reviews,sort,data_coleta,old,new
PUMA,Tênis Puma Flyer Runner Mesh Bdp Masculino Original ,5.0,5,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,329.9,283.71
FILA,Tênis Fila Classic Runner Sl Masculino Branco,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,289.9,32.21
FILA,Tênis Fila Racer Gripper Masculino Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,329.99,232.53
FILA,Tênis Fila Masculino Recovery Esportivo Confortável Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,379.99,36.84
FILA,Tênis Fila Masculino Trend 3.0 Treino Caminhada Casual,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,319.9,281.51
FILA,Tênis Fila Racer Nairobi Corrida - Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,379.99,334.39
ASCENSION,Tênis Esportivo Sola Macia P/ Exercícios Tecido Confortável,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,129.9,12.63
OLYMPIKUS,Tênis Olympikus Rayo - Masculino Casual Confortável E Leve,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,259.99,197.59
FILA,Tênis De Caminhada Masculino Fila Ride Original,5.0,3,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,329.99,227.43
FILA,Tênis Corrida Ultra Leve Fila Kr6 Maratona Performance,4.5,6,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,599.99,335.99
OLYMPIKUS,Tênis Masculino Esportivo Olympikus Soma Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,219.9,172.9
FILA,Tênis Masculino Fila Ride Original,5.0,1,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,329.99,227.43
FILA,Tênis Racer Gripper Fila Unissex Original ,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,329.99,237.59
ASCENSION,Tênis Esportivo Exercícios Conforto E Estilo,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,129.54,12.0
LORENZZO LOPEZ,Tênis Masculino Esportivo Caminhada E Academia Leve,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,109.9,36.63
OLYMPIKUS,Tênis Olympikus Cyber Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,259.99,185.25
FILA,Tênis Fila Masculino Float Elite Corrida ,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,749.9,457.43
FILA,Tênis Fila Recovery Masculino Preto E Cinza,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,359.9,35.99
OLYMPIKUS,Tênis Masculino Corre Trilha Olympikus Novo,5.0,2,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,599.99,478.99
FILA,Tênis Para Corrida Masculino Performance Fila Float Elite ,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,749.9,449.94
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,4.5,4630,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,77.9,74.67
MSTORE,Kit 3 Pares Sapatenis Casual Barato Confortável Macio Flex,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,129.9,32.48
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,4.4,1509,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,188.9,31.48
DIX,Tênis Para Academia Masculino Malhar Corrida Promoção,4.5,1599,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,66.9,63.55
,Tênis Masculino Corrida Caminhada Academia Macio Barato Top,4.4,3401,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,51.9,44.65
VIA LIVRE,Tênis Masculino Advanced Running Ultra Leve Macio Academia,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,131.9,117.39
,Tênis Número Especial Esportivo Corrida E Academia 44-48,4.2,42,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,78.0,26.0
NEW BALANCE,Tênis New Balance 411 V3 Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,359.9,295.11
FILA,Tênis Fila Kenya Racer Kr6 Alta Performance Masculino,5.0,3,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,599.99,365.99
FILA,Tênis Fila Kr6 Masculino,4.8,20,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,466.83,415.48
DIX,Tênis Para Academia Masculino Malhar Corrida Promoção,4.5,1599,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,66.9,63.55
DM DAMANDO,Kit Tenis Confortavel Masculino P/academia Corrida + Relógio,4.6,188,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,78.9,26.3
